"","GEOID","NAME","rent_30E","rent_30M","rent_35E","rent_35M","rent_40E","rent_40M","rent_50E","rent_50M","above30"
"1","10001042000","Census Tract 420, Kent County, Delaware",0,12,7,13,11,16,0,12,18
"2","10001042900","Census Tract 429, Kent County, Delaware",10,11,27,38,0,12,48,37,85
"3","10001040700","Census Tract 407, Kent County, Delaware",60,65,15,25,98,103,276,158,449
"4","10001041400","Census Tract 414, Kent County, Delaware",141,74,102,78,35,31,285,103,563
"5","10001041500","Census Tract 415, Kent County, Delaware",87,55,74,62,80,69,195,93,436
"6","10001041801","Census Tract 418.01, Kent County, Delaware",44,35,79,72,139,89,154,74,416
"7","10001041802","Census Tract 418.02, Kent County, Delaware",0,17,54,67,125,100,88,61,267
"8","10001040100","Census Tract 401, Kent County, Delaware",49,55,69,65,9,11,12,11,139
"9","10001041100","Census Tract 411, Kent County, Delaware",114,82,127,71,240,100,368,108,849
"10","10001041200","Census Tract 412, Kent County, Delaware",57,50,53,51,46,37,94,74,250
"11","10001041900","Census Tract 419, Kent County, Delaware",32,38,0,17,11,17,46,39,89
"12","10001042201","Census Tract 422.01, Kent County, Delaware",131,123,38,65,315,163,221,134,705
"13","10001042500","Census Tract 425, Kent County, Delaware",97,78,96,74,112,110,148,75,453
"14","10001041000","Census Tract 410, Kent County, Delaware",157,108,145,103,98,84,359,169,759
"15","10003001600","Census Tract 16, New Castle County, Delaware",68,49,33,33,47,40,154,65,302
"16","10003002300","Census Tract 23, New Castle County, Delaware",87,87,27,21,56,54,201,115,371
"17","10003012000","Census Tract 120, New Castle County, Delaware",0,12,44,47,0,12,68,46,112
"18","10003012200","Census Tract 122, New Castle County, Delaware",52,48,13,19,6,10,212,98,283
"19","10003012900","Census Tract 129, New Castle County, Delaware",159,81,131,74,47,40,135,74,472
"20","10003013200","Census Tract 132, New Castle County, Delaware",23,38,23,36,0,12,87,65,133
"21","10003013604","Census Tract 136.04, New Castle County, Delaware",21,23,0,12,54,46,34,38,109
"22","10003014200","Census Tract 142, New Castle County, Delaware",0,12,0,12,0,12,15,16,15
"23","10003014702","Census Tract 147.02, New Castle County, Delaware",5,8,0,12,4,6,13,18,22
"24","10003014705","Census Tract 147.05, New Castle County, Delaware",88,70,40,43,56,53,96,56,280
"25","10003001200","Census Tract 12, New Castle County, Delaware",35,33,13,13,40,32,15,13,103
"26","10003011400","Census Tract 114, New Castle County, Delaware",0,12,0,12,38,39,89,50,127
"27","10003012600","Census Tract 126, New Castle County, Delaware",66,55,11,19,0,12,11,17,88
"28","10003012700","Census Tract 127, New Castle County, Delaware",14,18,42,54,9,11,189,76,254
"29","10003013608","Census Tract 136.08, New Castle County, Delaware",3,5,17,25,16,15,90,34,126
"30","10003013611","Census Tract 136.11, New Castle County, Delaware",83,80,100,95,65,53,81,47,329
"31","10003001100","Census Tract 11, New Castle County, Delaware",162,88,26,33,103,87,274,147,565
"32","10003002700","Census Tract 27, New Castle County, Delaware",6,9,29,24,24,25,119,49,178
"33","10003010400","Census Tract 104, New Castle County, Delaware",19,22,16,18,28,35,70,41,133
"34","10003011204","Census Tract 112.04, New Castle County, Delaware",8,13,17,17,0,12,31,24,56
"35","10003011900","Census Tract 119, New Castle County, Delaware",0,12,9,16,6,10,60,48,75
"36","10003012500","Census Tract 125, New Castle County, Delaware",123,92,35,51,59,73,139,89,356
"37","10003013100","Census Tract 131, New Castle County, Delaware",6,12,10,11,10,10,26,30,52
"38","10003013300","Census Tract 133, New Castle County, Delaware",15,25,16,23,0,12,32,27,63
"39","10003013800","Census Tract 138, New Castle County, Delaware",103,64,39,41,19,26,136,102,297
"40","10003014000","Census Tract 140, New Castle County, Delaware",152,125,11,18,190,97,240,124,593
"41","10003014100","Census Tract 141, New Castle County, Delaware",10,17,24,24,85,69,40,45,159
"42","10003014403","Census Tract 144.03, New Castle County, Delaware",51,51,51,48,109,67,304,130,515
"43","10003014803","Census Tract 148.03, New Castle County, Delaware",40,32,0,12,58,54,32,26,130
"44","10003015000","Census Tract 150, New Castle County, Delaware",24,46,33,50,62,68,168,97,287
"45","10003015900","Census Tract 159, New Castle County, Delaware",61,57,45,58,0,12,17,21,123
"46","10005050405","Census Tract 504.05, Sussex County, Delaware",59,72,54,63,14,21,64,54,191
"47","10005050406","Census Tract 504.06, Sussex County, Delaware",7,12,102,79,172,110,212,118,493
"48","10005050407","Census Tract 504.07, Sussex County, Delaware",50,45,30,28,65,44,77,51,222
"49","10005050408","Census Tract 504.08, Sussex County, Delaware",36,41,10,16,0,12,96,63,142
"50","10005050503","Census Tract 505.03, Sussex County, Delaware",67,54,70,64,147,113,211,141,495
"51","10001040501","Census Tract 405.01, Kent County, Delaware",18,29,132,108,70,59,160,78,380
"52","10001040502","Census Tract 405.02, Kent County, Delaware",16,18,35,34,9,14,90,48,150
"53","10001043202","Census Tract 432.02, Kent County, Delaware",65,50,0,12,102,72,145,75,312
"54","10001043300","Census Tract 433, Kent County, Delaware",116,72,112,79,48,42,252,91,528
"55","10001043400","Census Tract 434, Kent County, Delaware",111,65,6,13,34,30,122,73,273
"56","10001990000","Census Tract 9900, Kent County, Delaware",0,12,0,12,0,12,0,12,0
"57","10003013903","Census Tract 139.03, New Castle County, Delaware",8,13,0,17,0,17,6,16,14
"58","10003013904","Census Tract 139.04, New Castle County, Delaware",147,104,106,108,115,98,226,134,594
"59","10003014809","Census Tract 148.09, New Castle County, Delaware",34,37,13,20,82,91,94,93,223
"60","10005051203","Census Tract 512.03, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"61","10005051204","Census Tract 512.04, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"62","10005051205","Census Tract 512.05, Sussex County, Delaware",0,12,0,12,2,3,0,12,2
"63","10005051305","Census Tract 513.05, Sussex County, Delaware",79,63,17,19,70,47,53,32,219
"64","10005051306","Census Tract 513.06, Sussex County, Delaware",11,18,19,20,0,12,26,20,56
"65","10005990000","Census Tract 9900, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"66","10003014404","Census Tract 144.04, New Castle County, Delaware",14,24,20,33,93,94,186,97,313
"67","10003014903","Census Tract 149.03, New Castle County, Delaware",56,68,30,36,33,38,355,144,474
"68","10003000300","Census Tract 3, New Castle County, Delaware",36,35,32,44,10,17,166,79,244
"69","10003000601","Census Tract 6.01, New Castle County, Delaware",28,29,18,23,59,47,172,75,277
"70","10003002100","Census Tract 21, New Castle County, Delaware",68,38,45,33,26,18,184,59,323
"71","10003002500","Census Tract 25, New Castle County, Delaware",43,54,30,48,105,53,99,87,277
"72","10003011201","Census Tract 112.01, New Castle County, Delaware",7,11,5,8,10,11,14,14,36
"73","10003011300","Census Tract 113, New Castle County, Delaware",0,12,0,12,15,14,52,31,67
"74","10003011500","Census Tract 115, New Castle County, Delaware",0,12,0,12,41,47,45,56,86
"75","10003011700","Census Tract 117, New Castle County, Delaware",0,12,0,12,0,12,31,40,31
"76","10003012300","Census Tract 123, New Castle County, Delaware",10,16,26,31,24,30,186,91,246
"77","10003014808","Census Tract 148.08, New Castle County, Delaware",117,60,0,17,116,113,156,96,389
"78","10003013610","Census Tract 136.10, New Castle County, Delaware",0,17,0,17,77,57,137,101,214
"79","10003013700","Census Tract 137, New Castle County, Delaware",22,22,59,48,64,50,168,83,313
"80","10003014904","Census Tract 149.04, New Castle County, Delaware",0,12,87,102,51,53,390,155,528
"81","10003016200","Census Tract 162, New Castle County, Delaware",79,66,28,24,45,49,96,68,248
"82","10003016301","Census Tract 163.01, New Castle County, Delaware",57,71,93,66,32,49,110,73,292
"83","10003016601","Census Tract 166.01, New Castle County, Delaware",114,112,21,34,21,34,180,116,336
"84","10003016602","Census Tract 166.02, New Castle County, Delaware",0,19,16,26,58,85,0,19,74
"85","10003016901","Census Tract 169.01, New Castle County, Delaware",0,12,0,12,0,12,11,13,11
"86","10003000602","Census Tract 6.02, New Castle County, Delaware",100,72,18,30,21,38,284,121,423
"87","10003002800","Census Tract 28, New Castle County, Delaware",9,14,41,39,52,45,188,79,290
"88","10003002900","Census Tract 29, New Castle County, Delaware",140,77,73,58,83,66,240,98,536
"89","10003001902","Census Tract 19.02, New Castle County, Delaware",27,25,18,15,36,36,178,70,259
"90","10003003002","Census Tract 30.02, New Castle County, Delaware",14,20,34,30,39,39,154,63,241
"91","10003010104","Census Tract 101.04, New Castle County, Delaware",139,81,63,66,95,81,265,115,562
"92","10003010502","Census Tract 105.02, New Castle County, Delaware",51,54,36,33,88,89,226,104,401
"93","10003010702","Census Tract 107.02, New Castle County, Delaware",41,46,20,31,261,169,367,219,689
"94","10003013505","Census Tract 135.05, New Castle County, Delaware",0,12,0,12,0,12,37,64,37
"95","10003013506","Census Tract 135.06, New Castle County, Delaware",0,12,0,12,0,12,22,31,22
"96","10003013614","Census Tract 136.14, New Castle County, Delaware",47,48,48,51,65,66,127,75,287
"97","10003013615","Census Tract 136.15, New Castle County, Delaware",47,47,8,14,26,32,82,57,163
"98","10003014706","Census Tract 147.06, New Castle County, Delaware",106,68,18,22,0,12,93,69,217
"99","10003014807","Census Tract 148.07, New Castle County, Delaware",38,37,15,24,24,30,29,35,106
"100","10003015400","Census Tract 154, New Castle County, Delaware",22,34,0,12,28,35,57,49,107
"101","10003000200","Census Tract 2, New Castle County, Delaware",29,54,152,135,46,56,253,150,480
"102","10003000900","Census Tract 9, New Castle County, Delaware",40,32,33,30,54,43,268,78,395
"103","10003010101","Census Tract 101.01, New Castle County, Delaware",150,85,113,71,97,74,188,83,548
"104","10003011205","Census Tract 112.05, New Castle County, Delaware",0,12,0,12,0,12,20,24,20
"105","10003013501","Census Tract 135.01, New Castle County, Delaware",16,25,11,18,68,64,91,67,186
"106","10003014300","Census Tract 143, New Castle County, Delaware",60,64,16,25,0,17,78,58,154
"107","10003013901","Census Tract 139.01, New Castle County, Delaware",59,46,22,24,8,12,18,21,107
"108","10003002400","Census Tract 24, New Castle County, Delaware",67,57,16,28,122,113,347,158,552
"109","10003015200","Census Tract 152, New Castle County, Delaware",68,55,75,60,0,17,126,68,269
"110","10003001500","Census Tract 15, New Castle County, Delaware",15,18,5,8,32,27,224,90,276
"111","10003011203","Census Tract 112.03, New Castle County, Delaware",111,98,37,39,26,32,180,108,354
"112","10003001400","Census Tract 14, New Castle County, Delaware",50,43,22,23,18,29,122,60,212
"113","10003012100","Census Tract 121, New Castle County, Delaware",10,15,16,25,13,17,99,60,138
"114","10003013607","Census Tract 136.07, New Castle County, Delaware",184,112,145,107,54,59,17,29,400
"115","10003015600","Census Tract 156, New Castle County, Delaware",5,10,0,12,43,36,20,17,68
"116","10003011206","Census Tract 112.06, New Castle County, Delaware",0,12,27,24,9,13,14,17,50
"117","10003000500","Census Tract 5, New Castle County, Delaware",22,32,20,33,61,48,136,74,239
"118","10003013503","Census Tract 135.03, New Castle County, Delaware",0,17,14,22,50,77,120,83,184
"119","10005050101","Census Tract 501.01, Sussex County, Delaware",0,12,0,12,13,19,71,52,84
"120","10005050401","Census Tract 504.01, Sussex County, Delaware",21,23,11,17,0,12,51,56,83
"121","10005050601","Census Tract 506.01, Sussex County, Delaware",0,17,15,24,0,17,13,19,28
"122","10005050301","Census Tract 503.01, Sussex County, Delaware",21,19,92,52,34,31,144,70,291
"123","10005050501","Census Tract 505.01, Sussex County, Delaware",0,12,0,12,80,67,122,79,202
"124","10005051303","Census Tract 513.03, Sussex County, Delaware",31,28,19,23,34,29,56,45,140
"125","10005050403","Census Tract 504.03, Sussex County, Delaware",39,42,28,29,16,19,29,28,112
"126","10005050803","Census Tract 508.03, Sussex County, Delaware",0,17,16,26,0,17,152,174,168
"127","10005051500","Census Tract 515, Sussex County, Delaware",34,28,15,15,20,19,106,57,175
"128","10003016401","Census Tract 164.01, New Castle County, Delaware",0,17,0,17,0,17,0,17,0
"129","10003013612","Census Tract 136.12, New Castle County, Delaware",0,17,0,17,49,59,51,63,100
"130","10003014502","Census Tract 145.02, New Castle County, Delaware",39,39,14,17,10,15,454,105,517
"131","10003014703","Census Tract 147.03, New Castle County, Delaware",83,62,48,64,18,20,211,109,360
"132","10003015100","Census Tract 151, New Castle County, Delaware",39,47,13,20,0,12,8,14,60
"133","10003016000","Census Tract 160, New Castle County, Delaware",93,68,23,36,34,30,29,36,179
"134","10003000400","Census Tract 4, New Castle County, Delaware",101,80,49,44,133,79,203,111,486
"135","10003001300","Census Tract 13, New Castle County, Delaware",11,13,18,19,0,12,33,43,62
"136","10003002600","Census Tract 26, New Castle County, Delaware",72,64,52,50,74,60,298,107,496
"137","10003010200","Census Tract 102, New Castle County, Delaware",0,12,9,12,0,12,13,15,22
"138","10003010300","Census Tract 103, New Castle County, Delaware",36,33,0,12,9,14,36,56,81
"139","10005050504","Census Tract 505.04, Sussex County, Delaware",86,70,34,38,43,39,55,44,218
"140","10005050703","Census Tract 507.03, Sussex County, Delaware",8,6,19,20,14,12,65,41,106
"141","10005050705","Census Tract 507.05, Sussex County, Delaware",23,24,32,39,18,28,176,157,249
"142","10005050704","Census Tract 507.04, Sussex County, Delaware",73,85,0,17,16,25,16,27,105
"143","10005050706","Census Tract 507.06, Sussex County, Delaware",9,11,0,12,10,14,0,12,19
"144","10005050901","Census Tract 509.01, Sussex County, Delaware",31,25,9,14,0,12,48,49,88
"145","10005050902","Census Tract 509.02, Sussex County, Delaware",51,39,45,43,29,33,145,110,270
"146","10005051004","Census Tract 510.04, Sussex County, Delaware",21,24,21,23,25,25,52,77,119
"147","10005051005","Census Tract 510.05, Sussex County, Delaware",0,17,6,6,12,13,43,43,61
"148","10005051006","Census Tract 510.06, Sussex County, Delaware",0,12,9,14,0,12,57,49,66
"149","10005051007","Census Tract 510.07, Sussex County, Delaware",15,24,0,12,20,33,104,104,139
"150","10005051101","Census Tract 511.01, Sussex County, Delaware",7,8,0,12,18,17,25,21,50
"151","10005051102","Census Tract 511.02, Sussex County, Delaware",3,4,4,6,0,12,13,14,20
"152","10005051103","Census Tract 511.03, Sussex County, Delaware",0,12,0,12,5,7,20,16,25
"153","10005051201","Census Tract 512.01, Sussex County, Delaware",5,8,25,26,16,13,20,17,66
"154","10005051202","Census Tract 512.02, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"155","10005051702","Census Tract 517.02, Sussex County, Delaware",92,122,0,17,36,55,11,19,139
"156","10005051900","Census Tract 519, Sussex County, Delaware",88,47,23,16,75,48,78,32,264
"157","10005050602","Census Tract 506.02, Sussex County, Delaware",48,58,12,20,89,66,294,146,443
"158","10005051801","Census Tract 518.01, Sussex County, Delaware",18,29,0,12,97,94,149,119,264
"159","10005050302","Census Tract 503.02, Sussex County, Delaware",14,23,10,18,22,28,38,37,84
"160","10005050701","Census Tract 507.01, Sussex County, Delaware",27,30,15,14,37,36,103,54,182
"161","10005051301","Census Tract 513.01, Sussex County, Delaware",37,60,0,17,0,17,28,30,65
"162","10005051302","Census Tract 513.02, Sussex County, Delaware",13,21,5,8,3,5,8,11,29
"163","10005051701","Census Tract 517.01, Sussex County, Delaware",0,12,19,21,0,12,31,36,50
"164","10005051802","Census Tract 518.02, Sussex County, Delaware",107,73,80,63,52,48,169,91,408
"165","10005050103","Census Tract 501.03, Sussex County, Delaware",0,12,14,17,27,40,30,33,71
"166","10003010800","Census Tract 108, New Castle County, Delaware",23,22,31,26,17,20,108,60,179
"167","10003010900","Census Tract 109, New Castle County, Delaware",9,13,0,12,8,14,43,49,60
"168","10003012400","Census Tract 124, New Castle County, Delaware",34,54,14,19,66,60,58,53,172
"169","10003011100","Census Tract 111, New Castle County, Delaware",7,5,7,9,2,3,55,39,71
"170","10003011202","Census Tract 112.02, New Castle County, Delaware",0,12,5,9,0,12,14,15,19
"171","10003011800","Census Tract 118, New Castle County, Delaware",76,58,0,12,14,17,154,68,244
"172","10003013400","Census Tract 134, New Castle County, Delaware",26,34,0,12,0,12,63,49,89
"173","10003013613","Census Tract 136.13, New Castle County, Delaware",15,22,0,17,80,69,168,142,263
"174","10003014402","Census Tract 144.02, New Castle County, Delaware",47,48,55,55,19,21,230,103,351
"175","10003014501","Census Tract 145.01, New Castle County, Delaware",28,27,24,24,74,47,519,100,645
"176","10003014805","Census Tract 148.05, New Castle County, Delaware",0,19,0,19,19,28,18,28,37
"177","10003016100","Census Tract 161, New Castle County, Delaware",18,30,16,24,27,20,58,40,119
"178","10003016302","Census Tract 163.02, New Castle County, Delaware",0,17,0,17,0,17,51,49,51
"179","10003016801","Census Tract 168.01, New Castle County, Delaware",3,6,47,75,0,17,72,82,122
"180","10003002200","Census Tract 22, New Castle County, Delaware",8,13,14,23,48,35,154,62,224
"181","10003011000","Census Tract 110, New Castle County, Delaware",0,12,0,12,0,12,4,7,4
"182","10003011600","Census Tract 116, New Castle County, Delaware",0,12,8,13,9,14,9,14,26
"183","10003013000","Census Tract 130, New Castle County, Delaware",15,23,0,12,0,12,8,10,23
"184","10003016604","Census Tract 166.04, New Castle County, Delaware",0,19,2,4,73,57,84,65,159
"185","10003014810","Census Tract 148.10, New Castle County, Delaware",74,132,43,61,51,77,128,94,296
"186","10003014906","Census Tract 149.06, New Castle County, Delaware",48,52,91,62,122,83,150,88,411
"187","10003014907","Census Tract 149.07, New Castle County, Delaware",0,12,3,7,47,46,49,50,99
"188","10003014908","Census Tract 149.08, New Castle County, Delaware",63,36,45,40,35,38,72,40,215
"189","10003014909","Census Tract 149.09, New Castle County, Delaware",197,133,14,23,92,71,267,140,570
"190","10003015502","Census Tract 155.02, New Castle County, Delaware",20,32,26,33,19,29,134,57,199
"191","10003015802","Census Tract 158.02, New Castle County, Delaware",11,14,5,7,16,24,74,37,106
"192","10003016305","Census Tract 163.05, New Castle County, Delaware",73,74,126,135,140,96,114,83,453
"193","10003016404","Census Tract 164.04, New Castle County, Delaware",37,24,21,17,9,9,36,24,103
"194","10003016608","Census Tract 166.08, New Castle County, Delaware",0,17,0,17,0,17,0,17,0
"195","10003016804","Census Tract 168.04, New Castle County, Delaware",0,17,0,17,15,27,17,28,32
"196","10003016904","Census Tract 169.04, New Castle County, Delaware",0,12,0,12,0,12,5,8,5
"197","10003980100","Census Tract 9801, New Castle County, Delaware",0,12,0,12,0,12,0,12,0
"198","10003990100","Census Tract 9901, New Castle County, Delaware",0,12,0,12,0,12,0,12,0
"199","10005050104","Census Tract 501.04, Sussex County, Delaware",79,63,35,34,31,48,81,45,226
"200","10005050105","Census Tract 501.05, Sussex County, Delaware",42,50,0,17,0,17,38,44,80
"201","10005050200","Census Tract 502, Sussex County, Delaware",27,33,0,12,84,58,54,46,165
"202","10005051003","Census Tract 510.03, Sussex County, Delaware",14,23,33,42,40,45,73,63,160
"203","10005050802","Census Tract 508.02, Sussex County, Delaware",5,9,0,17,16,27,118,99,139
"204","10005051400","Census Tract 514, Sussex County, Delaware",47,39,0,12,100,64,95,65,242
"205","10005050801","Census Tract 508.01, Sussex County, Delaware",129,82,5,7,25,25,99,67,258
"206","10001042800","Census Tract 428, Kent County, Delaware",123,94,57,76,8,10,158,84,346
"207","10001042202","Census Tract 422.02, Kent County, Delaware",34,43,0,17,151,113,187,137,372
"208","10001043100","Census Tract 431, Kent County, Delaware",1,2,3,6,0,12,24,23,28
"209","10001040201","Census Tract 402.01, Kent County, Delaware",37,32,61,45,26,27,156,82,280
"210","10001041600","Census Tract 416, Kent County, Delaware",27,27,7,11,12,14,66,47,112
"211","10001042100","Census Tract 421, Kent County, Delaware",5,8,10,16,48,60,79,61,142
"212","10001043000","Census Tract 430, Kent County, Delaware",208,136,129,99,0,17,230,135,567
"213","10001041702","Census Tract 417.02, Kent County, Delaware",50,52,0,12,62,57,40,47,152
"214","10001040202","Census Tract 402.02, Kent County, Delaware",108,107,38,59,0,19,153,94,299
"215","10001040203","Census Tract 402.03, Kent County, Delaware",13,21,65,62,56,73,141,113,275
"216","10001040900","Census Tract 409, Kent County, Delaware",94,76,48,41,20,24,155,78,317
"217","10001041300","Census Tract 413, Kent County, Delaware",41,43,10,13,40,33,222,80,313
"218","10001041701","Census Tract 417.01, Kent County, Delaware",22,22,56,66,40,39,122,90,240
